epoch,global_step,lr-AdamW,lr_abs,step,train/loss_epoch,train/loss_simple_epoch,train/loss_simple_step,train/loss_step,train/loss_vlb_epoch,train/loss_vlb_step,val/loss,val/loss_ema,val/loss_simple,val/loss_simple_ema,val/loss_vlb,val/loss_vlb_ema
8,199.0,,1.1940000149479602e-05,199,,,0.711350679397583,0.711350679397583,,0.004240342415869236,,,,,,
8,,,,206,,,,,,,0.6952837705612183,0.7073794603347778,0.6952837705612183,0.7073794603347778,0.006786428391933441,0.003199998987838626
8,,,,206,0.6900760531425476,0.6900760531425476,,,0.0039895023219287395,,,,,,,
9,,,,229,,,,,,,0.642305314540863,0.6535839438438416,0.642305314540863,0.6535839438438416,0.002958144759759307,0.0030069411732256413
9,,,,229,0.6676514744758606,0.6676514744758606,,,0.004587383009493351,,,,,,,
,,1.2e-05,,249,,,,,,,,,,,,
10,249.0,,1.2000000424450263e-05,249,,,0.6516634821891785,0.6516634821891785,,0.0032194333616644144,,,,,,
10,,,,252,,,,,,,0.7067359685897827,0.6412349939346313,0.7067359685897827,0.6412349939346313,0.019617611542344093,0.002499547554180026
10,,,,252,0.6326600313186646,0.6326600313186646,,,0.0030518434941768646,,,,,,,
11,,,,275,,,,,,,0.6815284490585327,0.6511080861091614,0.6815284490585327,0.6511080861091614,0.006205015815794468,0.005913319997489452
11,,,,275,0.6316050887107849,0.6316050887107849,,,0.003907990641891956,,,,,,,
12,,,,298,,,,,,,0.5695830583572388,0.6164206862449646,0.5695830583572388,0.6164206862449646,0.0044590020552277565,0.005879099480807781
12,,,,298,0.5933970808982849,0.5933970808982849,,,0.004699195269495249,,,,,,,
,,1.2e-05,,299,,,,,,,,,,,,
13,299.0,,1.2000000424450263e-05,299,,,0.6465221643447876,0.6465221643447876,,0.0027036257088184357,,,,,,
13,,,,321,,,,,,,0.5357555150985718,0.605209231376648,0.5357555150985718,0.605209231376648,0.003205300774425268,0.0034893848933279514
13,,,,321,0.5750960111618042,0.5750960111618042,,,0.0031566438265144825,,,,,,,
14,,,,344,,,,,,,0.6115078926086426,0.6009190678596497,0.6115078926086426,0.6009190678596497,0.0032312925904989243,0.0037300940603017807
14,,,,344,0.5922574996948242,0.5922574996948242,,,0.0036033031065016985,,,,,,,
,,1.2e-05,,349,,,,,,,,,,,,
15,349.0,,1.2000000424450263e-05,349,,,0.6924875974655151,0.6924875974655151,,0.004407342988997698,,,,,,
15,,,,367,,,,,,,0.5799086689949036,0.5799948573112488,0.5799086689949036,0.5799948573112488,0.007599081844091415,0.005545913241803646
15,,,,367,0.5433838367462158,0.5433838367462158,,,0.004275978542864323,,,,,,,
16,,,,390,,,,,,,0.6060839891433716,0.49585646390914917,0.6060839891433716,0.49585646390914917,0.005272635258734226,0.002649120520800352
16,,,,390,0.5197320580482483,0.5197320580482483,,,0.0028011624235659838,,,,,,,
,,1.2e-05,,399,,,,,,,,,,,,
17,399.0,,1.2000000424450263e-05,399,,,0.3726712465286255,0.3726712465286255,,0.0024299691431224346,,,,,,
17,,,,413,,,,,,,0.38649457693099976,0.5871829986572266,0.38649457693099976,0.5871829986572266,0.0021666144020855427,0.018973227590322495
17,,,,413,0.470615416765213,0.470615416765213,,,0.00261481199413538,,,,,,,
18,,,,436,,,,,,,0.6532062292098999,0.449563592672348,0.6532062292098999,0.449563592672348,0.0322549007833004,0.002013341523706913
18,,,,436,0.49158599972724915,0.49158599972724915,,,0.002617054618895054,,,,,,,
,,1.2e-05,,449,,,,,,,,,,,,
19,449.0,,1.2000000424450263e-05,449,,,0.31826573610305786,0.31826573610305786,,0.0020234393887221813,,,,,,
19,,,,459,,,,,,,0.49658364057540894,0.5289541482925415,0.49658364057540894,0.5289541482925415,0.0022361422888934612,0.0020890808664262295
19,,,,459,0.4604451060295105,0.4604451060295105,,,0.003207135945558548,,,,,,,
20,,,,482,,,,,,,0.39049696922302246,0.42558416724205017,0.39049696922302246,0.42558416724205017,0.0015751527389511466,0.002089898334816098
20,,,,482,0.5024961829185486,0.5024961829185486,,,0.00325833261013031,,,,,,,
